time,province,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-04-08,河南,102.06,1.45,36.22,47.51,110.35,74.97,16.38
2017-04-08,浙江,79.82,0.89,38.67,63.03,89.66,53.39,12.27
2017-04-08,海南,29.12,0.5,8.32,36.19,28.52,13.99,4.23
2017-04-08,湖北,65.99,1.53,28.84,49.78,70.27,45.06,11.13
2017-04-08,湖南,66.87,1.07,22.56,45.77,71.69,44.79,15.86
2017-04-08,甘肃,35.23,0.55,17.83,69.62,30.53,19.14,9.9
2017-04-08,福建,50.91,0.77,25.6,49.22,52.06,31.05,10.48
2017-04-08,西藏,54.94,0.67,11.92,91.82,74.54,21.77,9.27
2017-04-08,贵州,59.78,0.69,15.78,82.12,64.61,33.86,10.07
2017-04-08,辽宁,64.22,0.66,20.73,78.37,70.8,29.77,13.89
2017-04-08,重庆,61.92,0.92,39.71,32.64,68.88,41.21,14.2
2017-04-08,陕西,58.41,1.04,32.13,47.97,56.03,36.51,10.18
2017-04-08,青海,75.4,0.92,19.59,78.65,98.23,34.88,20.36
2017-04-08,黑龙江,54.15,0.7,17.63,68.17,52.07,31.69,12.86
2017-04-09,上海,49.05,0.67,32.42,90.95,43.24,32.28,7.94
2017-04-09,云南,61.81,0.73,18.65,98.73,65.55,34.69,12.05
2017-04-09,内蒙古,41.78,0.66,20.65,69.07,41.48,17.41,15.33
2017-04-09,北京,90.0,0.89,45.63,46.3,101.75,63.64,6.87
2017-04-09,吉林,65.33,1.05,28.85,66.32,71.18,38.88,18.75
2017-04-09,四川,33.29,0.73,19.03,59.66,30.45,15.61,11.12
2017-04-09,天津,77.96,1.54,69.71,33.77,99.96,46.03,30.39
2017-04-09,宁夏,52.83,0.59,21.64,82.58,58.0,22.8,20.86
2017-04-09,安徽,68.2,0.82,24.81,82.47,67.79,43.74,12.27
2017-04-09,山东,62.68,0.67,25.37,67.62,74.38,22.76,17.46
2017-04-09,山西,43.73,1.09,26.67,64.65,41.04,24.82,19.41
2017-04-09,广东,40.1,0.71,22.64,31.41,40.44,22.47,9.53
2017-04-09,广西,50.82,0.78,16.71,47.99,52.72,31.04,12.75
2017-04-09,新疆,61.44,0.85,21.54,69.96,72.57,31.78,10.65
2017-04-09,江苏,53.76,0.75,24.0,87.6,56.4,27.47,10.93
2017-04-09,江西,46.45,1.06,17.23,51.03,45.03,29.7,16.87
2017-04-09,河北,63.68,0.85,42.84,53.31,78.57,32.91,26.49
2017-04-09,河南,62.36,1.09,30.62,55.33,66.16,34.86,18.87
2017-04-09,浙江,48.09,0.77,29.6,65.14,47.79,27.56,8.83
2017-04-09,海南,29.82,0.49,8.88,34.73,29.59,14.39,3.76
2017-04-09,湖北,41.19,1.22,18.71,65.38,35.05,25.0,6.74
2017-04-09,湖南,32.75,1.07,14.56,50.07,30.1,17.44,9.57
2017-04-09,甘肃,37.4,0.59,19.82,63.35,34.33,20.95,10.51
2017-04-09,福建,50.19,0.79,27.11,37.74,51.62,29.43,10.8
2017-04-09,西藏,49.86,0.6,8.03,114.48,54.24,16.27,8.44
2017-04-09,贵州,57.72,0.74,15.52,84.89,63.48,33.6,9.57
2017-04-09,辽宁,55.89,0.61,25.01,73.07,63.59,22.48,15.8
2017-04-09,重庆,52.56,0.97,35.54,16.34,53.34,35.0,11.11
2017-04-09,陕西,30.77,1.05,24.45,58.05,25.12,17.6,8.06
